technology,year,parameter,value,unit,source
H2 steel tank storage,2050,lifetime,30,years,
battery inverter,2020,investment,600,USD/kW,extrapolated from http://dx.doi.org/10.1016/j.jpowsour.2012.09.054
battery inverter,2030,investment,400,USD/kW,extrapolated from http://dx.doi.org/10.1016/j.jpowsour.2012.09.054
battery inverter,2050,investment,200,USD/kW,extrapolated from http://dx.doi.org/10.1016/j.jpowsour.2012.09.054
battery inverter,2020,efficiency,0.9,per unit,http://dx.doi.org/10.1016/j.jpowsour.2012.09.054
battery inverter,2030,efficiency,0.9,per unit,http://dx.doi.org/10.1016/j.jpowsour.2012.09.054
battery inverter,2050,efficiency,0.9,per unit,http://dx.doi.org/10.1016/j.jpowsour.2012.09.054
battery storage,2020,investment,300,USD/kWh,extrapolated from http://dx.doi.org/10.1016/j.jpowsour.2012.09.054 consistent with https://doi.org/10.1038/nclimate2564
battery storage,2030,investment,200,USD/kWh,extrapolated from http://dx.doi.org/10.1016/j.jpowsour.2012.09.054 consistent with https://doi.org/10.1038/nclimate2564
battery storage,2050,investment,150,USD/kWh,extrapolated from http://dx.doi.org/10.1016/j.jpowsour.2012.09.054 consistent with https://doi.org/10.1038/nclimate2564
